Addresses Gap,Product Name,Price,Rating,Num Ratings,Amazon Link,Affiliate Link (beastlyfacts-20),Image URL,ASIN
Commercial crested gecko diet (Crested Gecko + shareable gap),"Pangea Fruit Mix Watermelon Complete Gecko Diet, 8 oz",$23.99,4.8,6108,https://www.amazon.com/dp/B00KO450UC,https://www.amazon.com/dp/B00KO450UC?tag=beastlyfacts-20,https://m.media-amazon.com/images/I/812Sex0n+FL._AC_SY300_SX300_QL70_FMwebp_.jpg,B00KO450UC
Commercial crested gecko diet (Crested Gecko + shareable gap),"Pangea Gecko Diet with Papaya, 8oz",$19.99,4.8,1997,https://www.amazon.com/dp/B0140B8H2C,https://www.amazon.com/dp/B0140B8H2C?tag=beastlyfacts-20,https://m.media-amazon.com/images/I/71jIOspGDGL._AC_SX679_.jpg,B0140B8H2C
Commercial crested gecko diet (Crested Gecko + shareable gap),Pangea Gecko Diet with Watermelon 2 oz,$13.99,4.8,6108,https://www.amazon.com/dp/B019P10EEG,https://www.amazon.com/dp/B019P10EEG?tag=beastlyfacts-20,https://m.media-amazon.com/images/I/71dTOKXe8IL._AC_SX679_.jpg,B019P10EEG
Commercial crested gecko diet (Crested Gecko + shareable gap),Repashy Crested Gecko Diet - Classic 6 oz Jar,$17.99,4.8,39,https://www.amazon.com/dp/B0DBRSQ42K,https://www.amazon.com/dp/B0DBRSQ42K?tag=beastlyfacts-20,https://m.media-amazon.com/images/I/61+Ixr06rQL._AC_SX679_.jpg,B0DBRSQ42K
Commercial crested gecko diet (Crested Gecko + shareable gap),Repashy Crested Gecko Diet Banana 6 Oz,$20.99,4.8,324,https://www.amazon.com/dp/B0D7JTZ6MW,https://www.amazon.com/dp/B0D7JTZ6MW?tag=beastlyfacts-20,https://m.media-amazon.com/images/I/61znsszmrsL._AC_SY300_SX300_QL70_FMwebp_.jpg,B0D7JTZ6MW
Commercial crested gecko diet (Crested Gecko + shareable gap),Repashy Grubs 'N' Fruit Crested Gecko Diet 6 Oz JAR,$17.99,4.6,216,https://www.amazon.com/dp/B0D7JYJ99S,https://www.amazon.com/dp/B0D7JYJ99S?tag=beastlyfacts-20,https://m.media-amazon.com/images/I/616khbBZniL._AC_SX679_.jpg,B0D7JYJ99S
Commercial crested gecko diet (Crested Gecko + shareable gap),Repashy Crested Gecko MRP Diet - Food 'Mango' Superblend 12 Oz (3/4 lb) 340g JAR,$32.99,4.8,156,https://www.amazon.com/dp/B0D84QQFP3,https://www.amazon.com/dp/B0D84QQFP3?tag=beastlyfacts-20,https://m.media-amazon.com/images/I/712p+T3tRBL._AC_SX679_.jpg,B0D84QQFP3
Two hides - medium/large bucket (Ball Python + existing split),"Exo Terra Reptile Cave, X-Large",$28.61,4.2,126,https://www.amazon.com/dp/B00SLM5GWQ,https://www.amazon.com/dp/B00SLM5GWQ?tag=beastlyfacts-20,https://m.media-amazon.com/images/I/414CVfmnbxL._AC_.jpg,B00SLM5GWQ
Two hides - small/medium bucket (Corn Snake + existing split),"Exo Terra Gecko Cave for Reptiles and Amphibians, Reptile Hideout, Medium, PT2865",$28.99,4.6,3957,https://www.amazon.com/dp/B008YDHDD2,https://www.amazon.com/dp/B008YDHDD2?tag=beastlyfacts-20,https://m.media-amazon.com/images/I/71BhdVwRiNL._AC_SX679_.jpg,B008YDHDD2
"Two hides - small/medium bucket (Corn Snake + existing split, alternate)",Zoomed Medium Habba Hut Reptile Hide - Half Natural Wood Log Hide for Reptiles & Includes DBDPet Pro-Tip Guide,$14.50,4.0,61,https://www.amazon.com/dp/B092HDK2S4,https://www.amazon.com/dp/B092HDK2S4?tag=beastlyfacts-20,https://m.media-amazon.com/images/I/51dUqGRpmVL._AC_.jpg,B092HDK2S4
"Feeding tongs (Ball Python, Corn Snake - no prior candidate, generic search)","Lasnten 2 Pcs Extra Long Stainless Steel Reptile Feeding Tongs with Rubber Tip 10 Inch, 10.5 Inch Bearded Dragon Aquarium Straight and Curved Long Tweezer Terrarium Feeder Tool for Tank(Silver)",$8.49,4.7,1026,https://www.amazon.com/dp/B0CBKD64LP,https://www.amazon.com/dp/B0CBKD64LP?tag=beastlyfacts-20,https://m.media-amazon.com/images/I/61tSsHyQNpL._AC_SX679_.jpg,B0CBKD64LP
"Ceramic heat emitter / lightless heat (Bearded Dragon, Leopard Gecko, Ball Python) - one pick covers all three",Zoo Med Repticare Infrared Ceramic Heat Emitter (150 watt),$26.05,4.5,464,https://www.amazon.com/dp/B0002AQCQO,https://www.amazon.com/dp/B0002AQCQO?tag=beastlyfacts-20,https://m.media-amazon.com/images/I/51R5FU8RLgL._AC_SX679_.jpg,B0002AQCQO
"Quality thermostat, generic on/off (Ackie Monitor, Argentine B&W Tegu, Savannah Monitor, Uromastyx) - one pick covers all four","BN-LINK Reptile Thermostat Temperature Controller, Digital Heat Mat Thermostat for Seed Starting, Plant Germination, Greenhouse, Incubator, Brooder, Brewing, Reptiles Tank,40-108°F, 1000W, ETL Listed",$18.99,4.6,19614,https://www.amazon.com/dp/B01I15S6OM,https://www.amazon.com/dp/B01I15S6OM?tag=beastlyfacts-20,https://m.media-amazon.com/images/I/719LZ1nIMlL._AC_SX679_.jpg,B01I15S6OM
"36x18x18 in enclosure (Leopard Gecko, Hognose Snake) - one pick covers both","REPTI ZOO 50 Gallon PVC Reptile Enclosure, 36x18x18 inch Reptile Tank for Ball Python Bearded Dragon Snake Gecko, Reptile Terrarium Lounge Habitat with Glass Sliding Door & Top Screen Ventilation",$229.99,4.2,155,https://www.amazon.com/dp/B0CJB82285,https://www.amazon.com/dp/B0CJB82285?tag=beastlyfacts-20,https://m.media-amazon.com/images/I/71GQ7+sM7gL._AC_SY300_SX300_QL70_FMwebp_.jpg,B0CJB82285
"UVI meter / UV index radiometer (Bearded Dragon, optional/prosumer tier)","Solarmeter Model 6.5R Reptile UV Index Meter, Handheld Digital Radiometer for Measuring Ultraviolet Light, Measures 280-400 nm with Range from 0-199.9 UV Index, Made in USA, ABS Polymer, Black",$249.00,4.7,570,https://www.amazon.com/dp/B076GXJFJG,https://www.amazon.com/dp/B076GXJFJG?tag=beastlyfacts-20,https://m.media-amazon.com/images/I/71HlSUt2KtL._SX522_.jpg,B076GXJFJG
